,Start (s),Stop (s),Probe_id
0,926.4967247364325,926.5359247790343,729445648
1,927.0543434878801,927.0607434884153,729445652
2,927.062343488549,927.0727434894184,729445652
3,0.6247691749819921,9665.641737504,729445656
4,0.6255450943187597,9665.623830058521,729445654
5,897.2575957258839,897.2639957321163,760213137
6,1202.199492684377,1202.2050926898303,760213137
7,1923.1705947803962,1923.1745947842915,760213137
8,2080.302747798816,2080.3067478027115,760213137
9,897.2399625546809,897.2535625547738,760213145
10,1202.181564638598,1202.1911646386636,760213145
11,1971.0121924319897,1971.0169924455272,733744647
12,1971.0217924590647,1971.0441925222394,733744647
13,1970.9328951624047,1970.9552951686285,733744649
14,1970.956895169073,1970.9688951724072,733744649
15,1970.9704951728518,1970.9952951797422,733744649
16,1970.9676096541991,1970.9756096764183,733744651
17,1970.9772096808622,1970.9892097141908,733744651
18,1983.7898448903634,1983.7954448930523,733744653
19,6289.700312421571,6289.729912456735,757968489
20,6289.850712600242,6289.859512610697,757968489
21,6289.99231276846,6289.998712776062,757968489
22,6290.000312777963,6290.025912808375,757968489
23,6290.105912903413,6290.113912912917,757968489
24,6290.115512914817,6290.121112921471,757968489
25,6290.127512929073,6290.138712942379,757968489
26,6290.145112949982,6290.161112968989,757968489
27,6290.166712975642,6290.173912984195,757968489
28,6290.193113007004,6290.200313015558,757968489
29,6290.205913022211,6290.211513028863,757968489
30,6290.223513043119,6290.227513047871,757968489
31,6307.249133269083,6307.253133273835,757968489
32,6307.254733275737,6307.282733309,757968489
33,6307.386733432549,6307.392333439202,757968489
34,6307.402733451557,6307.433133487671,757968489
35,7189.408581250051,7189.4157812586045,757968489
36,6290.104484276076,6290.1844845072565,757968491
37,6290.18608451188,6290.192484530375,757968491
38,6290.194084534998,6290.222084615912,757968491
39,6290.223684620535,6290.282884791609,757968491
40,6290.284484796232,6290.2988848378445,757968491
41,6307.386134215736,6307.459734428423,757968491
42,6289.693222605436,6289.699622607059,757968493
43,6289.701222607464,6289.722022612736,757968493
44,6290.135622717562,6290.139622718576,757968493
45,6290.154822722428,6290.1588227234415,757968493
46,6290.173222727091,6290.178022728308,757968493
47,6307.355627081948,6307.359627082962,757968493
48,6307.366027084584,6307.370027085598,757968493
49,6307.374827086815,6307.379627088031,757968493
50,6307.389227090464,6307.396427092289,757968493
51,6307.398027092695,6307.404427094317,757968493
52,7189.410250637485,7189.416650639107,757968493
53,6290.113253595653,6290.117253596216,757968497
54,6290.118853596441,6290.125253597342,757968497
55,6290.136453598918,6290.140453599481,757968497
56,6290.144453600044,6290.150853600944,757968497
57,6290.152453601169,6290.156453601732,757968497
58,6290.166053603083,6290.170053603646,757968497
59,7853.718830692807,7853.722830698407,770930067
60,8705.2712228265,8705.2752228321,770930067
61,8705.28002283882,8705.28482284554,770930067
62,8856.737034871583,8856.742634879423,770930067
63,9472.666697144428,9472.671497151148,770930067
64,9616.79329891496,9616.799698923918,770930067
65,73.94488835489035,73.9544883553688,769322827
66,73.95608835544853,73.97208835624593,769322827
67,73.97768835652502,73.98248835676424,769322827
68,73.98408835684398,74.01048835815968,769322827
69,74.0152883583989,74.01928835859825,769322827
70,73.96647387675115,73.97127388910089,769322829
71,73.97527389939232,73.97927390968376,769322829
72,73.98167391585862,73.99047393849979,769322829
73,74.02807403523931,74.03767405993877,769322829
74,795.5415757580708,795.6215758459115,768908145
75,7090.533287700928,7090.586887759781,768908145
76,8914.409690329374,8914.433690355725,768908145
77,8915.51129153894,8915.542491573196,768908145
78,795.5407613468213,795.5447613474855,768908152
79,795.5463613477513,795.552761348814,768908152
80,795.5543613490796,795.5647613508065,768908152
81,7090.533806607977,7090.580206615681,768908152
82,8914.409309456001,8914.413309456666,768908152
83,8914.419709457728,8914.426909458924,768908152
84,8914.428509459189,8914.432509459853,768908152
85,8915.520509640512,8915.531709642371,768908152
86,5329.780324933859,5329.785924949131,768909180
87,6014.125391203941,6014.129391214849,768909180
88,6028.186229549102,6028.19022956001,768909180
89,7332.4473863856965,7332.451386396605,768909180
90,7332.556986684586,7332.561786697676,768909180
91,7436.027668858372,7436.032468871462,768909180
92,8412.93673297659,8412.94153298968,768909180
93,9016.809579791747,9016.813579802654,768909180
94,9598.493566095898,9598.498366108988,768909180
95,10014.39710030196,10014.40190031505,768909180
96,10014.548300714298,10014.553100727388,768909180
97,10014.569100771021,10014.573900784111,768909180
98,4834.6789640218385,4834.6829640264805,768909178
99,4834.688564032977,4834.693364038547,768909178
100,4834.721364071035,4834.729364080317,768909178
101,4834.732564084031,4834.738964091456,768909178
102,4838.132568029016,4838.146968045724,768909178
103,5244.553039593987,5244.5602396023405,768909178
104,5244.561839604197,5244.566639609767,768909178
105,5244.568239611623,5244.5738396181205,768909178
106,5244.575439619977,5244.589839636686,768909178
107,5244.5914396385415,5244.604239653393,768909178
108,5244.610639660819,5244.621039672887,768909178
109,5244.624239676599,5244.629839683097,768909178
110,5244.633839687738,5244.639439694236,768909178
111,5244.645039700733,5244.652239709088,768909178
112,5244.658639716513,5244.664239723011,768909178
113,5244.6658397248675,5244.671439731365,768909178
114,5244.712239778705,5244.717039784274,768909178
115,5244.724239792628,5244.728239797269,768909178
116,5244.733039802839,5244.73703980748,768909178
117,5244.809839891949,5244.8202399040165,768909178
118,5244.821839905872,5244.825839910513,768909178
119,5329.3211379494305,5329.333137963354,768909178
120,5329.3347379652105,5329.3387379698515,768909178
121,5329.351537984703,5329.361137995842,768909178
122,5329.364337999555,5329.371538007909,768909178
123,5329.381938019976,5329.385938024618,768909178
124,5329.481138135076,5329.485938140646,768909178
125,5329.492338148072,5329.496338152713,768909178
126,5329.505938163852,5329.515538174991,768909178
127,5329.52513818613,5329.531538193555,768909178
128,5329.539538202837,5329.549938214905,768909178
129,5329.557938224187,5329.56593823347,768909178
130,5329.581938252034,5329.58833825946,768909178
131,5329.589938261316,5329.597938270598,768909178
132,5329.6883383754885,5329.69233838013,768909178
133,5329.701938391268,5329.71953841169,768909178
134,5329.7451384413935,5329.7491384460345,768909178
135,5329.750738447891,5329.756338454388,768909178
136,5329.768338468312,5329.775538476666,768909178
137,5329.7963385008,5329.800338505442,768909178
138,5329.805138511011,5329.809138515652,768909178
139,5329.812338519365,5329.821938530504,768909178
140,5329.834738545355,5329.838738549996,768909178
141,5329.845138557423,5329.85073856392,768909178
142,5330.097938850744,5330.105138859098,768909178
143,5330.1067388609545,5330.112338867451,768909178
144,5330.123538880447,5330.130738888801,768909178
145,5330.231539005758,5330.237139012256,768909178
146,5330.238739014112,5330.245139021538,768909178
147,6002.119518589608,6002.125118596105,768909178
148,6002.128318599818,6002.132318604459,768909178
149,6002.133918606316,6002.141918615598,768909178
150,6002.143518617454,6002.15471863045,768909178
151,6002.1563186323065,6002.182718662938,768909178
152,6002.184318664794,6002.19071867222,768909178
153,6002.194718676861,6002.204318688,768909178
154,6002.205918689857,6002.209918694498,768909178
155,6002.211518696354,6002.220318706564,768909178
156,6002.224318711205,6002.233118721417,768909178
157,6002.238718727914,6002.2443187344115,768909178
158,6002.265118758545,6002.269118763187,768909178
159,6002.277918773398,6002.281918778039,768909178
160,6002.29951879846,6002.305118804958,768909178
161,6002.31311881424,6002.317118818881,768909178
162,6002.3243188272345,6002.330718834661,768909178
163,6002.337918843014,6002.3419188476555,768909178
164,6005.35792234709,6005.361922351731,768909178
165,6005.365122355444,6005.369922361013,768909178
166,6005.382722375865,6005.386722380506,768909178
167,6005.399522395358,6005.411522409281,768909178
168,6008.003525416752,6008.007525421393,768909178
169,6008.02272543903,6008.026725443671,768909178
170,6008.030725448312,6008.034725452953,768909178
171,6008.075525500293,6008.079525504934,768909178
172,6008.092325519786,6008.097125525355,768909178
173,6008.101925530925,6008.107525537423,768909178
174,6008.11312554392,6008.11792554949,768909178
175,6008.119525551346,6008.123525555987,768909178
176,6008.1347255689825,6008.144325580121,768909178
177,6008.145925581977,6008.15872559683,768909178
178,6008.160325598686,6008.168325607969,768909178
179,6008.1699256098245,6008.181925623748,768909178
180,6008.1835256256045,6008.193925637672,768909178
181,6008.195525639528,6008.209925656236,768909178
182,6008.211525658093,6008.216325663662,768909178
183,6014.102732493592,6014.109932501946,768909178
184,6014.116332509372,6014.124332518654,768909178
185,6014.13073252608,6014.137932534434,768909178
186,6014.145932543716,6014.15313255207,768909178
187,6014.159532559496,6014.164332565066,768909178
188,6014.172332574348,6014.181132584558,768909178
189,6014.199532605908,6014.20753261519,768909178
190,6014.213132621688,6014.2187326281855,768909178
191,6014.253132668099,6014.25713267274,768909178
192,6014.265132682023,6014.27073268852,768909178
193,6014.272332690377,6014.293932715439,768909178
194,6028.021948643897,6028.026748649467,768909178
195,6028.034748658749,6028.0419486671035,768909178
196,6028.043548668959,6028.053948681027,768909178
197,6028.055548682883,6028.062748691237,768909178
198,6028.065148694021,6028.072348702376,768909178
199,6028.165948810979,6028.16994881562,768909178
200,6028.182748830472,6028.188348836969,768909178
201,6028.191548840682,6028.197948848108,768909178
202,6028.2059488573905,6028.2099488620315,768909178
203,6028.229148884309,6028.235548891736,768909178
204,6028.239548896377,6028.245148902874,768909178
205,6028.2979489641375,6028.301948968779,768909178
206,6028.325148995697,6028.3291490003385,768909178
207,6031.891553133754,6031.896353139324,768909178
208,6031.905953150463,6031.917953164386,768909178
209,6031.925953173669,6031.932353181094,768909178
210,6032.086753360243,6032.092353366741,768909178
211,6033.39155487419,6033.4003548844,768909178
212,6033.422754910391,6033.433154922457,768909178
213,6033.473954969797,6033.485154982793,768909178
214,6033.4867549846485,6033.49075498929,768909178
